Name,Price,Quantity,Category,Engine,Transmission,GVW,Store,ECM Miles,YouTube URL,Extra Description,Image URL,URL,Description,Td,Item,Td 2
"2022 Kenworth T680 Truck: Tractor, Tandem Axle Day Cab","$29,900.00",,,Paccar MX13 405HP,Endurant 12 Spd Paccar PO-16F112C,52350,"Stephenville, TX",529415 (13919 hrs),,,,https://www.vanderhaags.com/detailview.php?part=25977353,"Tractor, Tandem Axle Day Cab",ECM Miles (Hours):,Item:22KN023,
"2016 International DURASTAR (4300) Truck: Dump, Single Axle","$74,900.00",,,Cummins ISB6.7 250HP,Automatic 6 Spd Allison 2500 RDS,25999,"Sioux Falls, SD",,,,,https://www.vanderhaags.com/detailview.php?part=25740518,"Dump, Single Axle - 2016 International 4300, Customized with a New 16' Dump Body & 13"" Fold-Down Sides. This truck was c...",ECM Miles (Hours):,Item:16SADUMP,
"2021 International RH Truck: Tractor, Tandem Axle Day Cab","$24,900.00",,,International A26 450HP,Automatic 12 Spd Eaton EEO-17F112C,52000,"London, OH",431864 (12437.21 hrs),,,,https://www.vanderhaags.com/detailview.php?part=26009948,"Tractor, Tandem Axle Day Cab - 2021 International RH613 Day Cab, International A26 515HP Engine, Automatic 12 Spd Eaton EEO-14F112C...",ECM Miles (Hours):,Item:21IH045,
"2021 International LT Truck: Tractor, Tandem Axle Day Cab","$29,900.00",,,Cummins X15 400HP,12 Spd Eaton EEO-17F112C,52350,"London, OH",406679 (8362 hrs),,,,https://www.vanderhaags.com/detailview.php?part=25904348,"Tractor, Tandem Axle Day Cab - 2021 International LT Tandem Axle Day Cab, Cummins X15 400HP Engine, 12 Spd Eaton EEO-17F112C Transm...",ECM Miles (Hours):,Item:21IH022,
"2018 International HX620 Truck: Cab & Chassis, Tandem Axle","$39,900.00",,,Cummins ISX15 455HP,Manual 10 Spd Fuller FRO16210C,56000,"London, OH",683175 (13936 hrs),,,,https://www.vanderhaags.com/detailview.php?part=25991403,"Cab & Chassis, Tandem Axle - 2018 International HX620 Truck w/a 28' X 102"" Flatbed, 7 Winches, Cummins ISX15 455HP Engine, Manual...",ECM Miles (Hours):,Item:18IH109,
"2021 Gmc TRUCK TRUCK: Vans, Cube & Step","$24,900.00",,,GM 6.6L L8T 401HP,Automatic 6 Spd,12300,"London, OH",95728,,,,https://www.vanderhaags.com/detailview.php?part=25800364,"Vans, Cube & Step - 2021 GMC Savana Cutaway G3500 w/a 16'x96""x79"" Van Body, GM 6.6L L8T 401HP Engine, Automatic 6 Spd Tr...",ECM Miles (Hours):,Item:21GM002,
"2024 Kenworth T680 Truck: Tractor, Tandem Axle Day Cab","$66,900.00",,,Paccar MX11 430HP,Automatic 12 Spd Paccar PO-16F112C,51200,"Council Bluffs, IA",367447 (8388 hrs),,"2024 Kenworth T680 Truck: Tractor, Tandem Axle Day Cab",https://pix.vanderhaags.com/640/truck-t680-kenworth-2f71c26936.JPG,https://www.vanderhaags.com/detailview.php?part=26031836,"Tractor, Tandem Axle Day Cab",ECM Miles (Hours):,Item:24KN018,
"2024 Kenworth T680 Truck: Tractor, Tandem Axle Day Cab","$69,900.00",,,Paccar MX11 430HP,Automatic 12 Spd Paccar PO-16F112C,51200,"Council Bluffs, IA",283304 (6050 hrs),https://www.youtube.com/watch?v=6ep8WmJFYaE,"2024 Kenworth T680 Truck: Tractor, Tandem Axle Day Cab",https://pix.vanderhaags.com/640/truck-t680-kenworth-f8e0d40451.JPG,https://www.vanderhaags.com/detailview.php?part=26031833,"Tractor, Tandem Axle Day Cab",ECM Miles (Hours):,Item:24KN017,
"2024 Kenworth T680 Truck: Tractor, Tandem Axle Day Cab","$69,900.00",,,Paccar MX11 430HP,Automatic 12 Spd Paccar PO-16F112C,51200,"Council Bluffs, IA",,https://www.youtube.com/watch?v=8RgqoKgTou0,"2024 Kenworth T680 Truck: Tractor, Tandem Axle Day Cab",https://pix.vanderhaags.com/640/truck-t680-kenworth-c8379858c2.jpg,https://www.vanderhaags.com/detailview.php?part=26031827,"Tractor, Tandem Axle Day Cab - Experience modern efficiency with this 2024 Kenworth T680. This white day cab is powered by a PACCAR...",ECM Miles (Hours):,Item:24KN023,
"2024 Kenworth T680 Truck: Tractor, Tandem Axle Day Cab","$66,900.00",,,Paccar MX11 430HP,Automatic 12 Spd Paccar PO-16F112C,51200,"Council Bluffs, IA",Yes,,"2024 Kenworth T680 Truck: Tractor, Tandem Axle Day Cab",https://pix.vanderhaags.com/640/truck-t680-kenworth-63b8f83a0b.JPG,https://www.vanderhaags.com/detailview.php?part=26031807,"Tractor, Tandem Axle Day Cab - 2024 Kenworth T680 Day Cab, Paccar MX11 430HP Engine, Automatic 12 Spd Paccar PO-16F112C Transmissio...",Cruise Control:,Item:24KN022,
