not url,Name,Description,Engine,Transmission,gvw,Td,Item,Store,Price,ecm_miles ,Image_url,extra_description,youtube_url,
https://www.vanderhaags.com/detailview.php?part=25977353,"2022 Kenworth T680 Truck: Tractor, Tandem Axle Day Cab","Tractor, Tandem Axle Day Cab",Paccar MX13 405HP,Endurant 12 Spd Paccar PO-16F112C,52350,ECM Miles (Hours):,Item:22KN023,"Stephenville, TX",$29900.00,529415 (13919 hrs),,,,
https://www.vanderhaags.com/detailview.php?part=25740518,"2016 International DURASTAR (4300) Truck: Dump, Single Axle","Dump, Single Axle - 2016 International 4300, Customized with a New 16' Dump Body & 13"" Fold-Down Sides. This truck was c...",Cummins ISB6.7 250HP,Automatic 6 Spd Allison 2500 RDS,25999,ECM Miles (Hours):,Item:16SADUMP,"Sioux Falls, SD",$74900.00,,,,,
https://www.vanderhaags.com/detailview.php?part=26009948,"2021 International RH Truck: Tractor, Tandem Axle Day Cab","Tractor, Tandem Axle Day Cab - 2021 International RH613 Day Cab, International A26 515HP Engine, Automatic 12 Spd Eaton EEO-14F112C...",International A26 450HP,Automatic 12 Spd Eaton EEO-17F112C,52000,ECM Miles (Hours):,Item:21IH045,"London, OH",$24900.00,431864 (12437.21 hrs),,,,
https://www.vanderhaags.com/detailview.php?part=25904348,"2021 International LT Truck: Tractor, Tandem Axle Day Cab","Tractor, Tandem Axle Day Cab - 2021 International LT Tandem Axle Day Cab, Cummins X15 400HP Engine, 12 Spd Eaton EEO-17F112C Transm...",Cummins X15 400HP,12 Spd Eaton EEO-17F112C,52350,ECM Miles (Hours):,Item:21IH022,"London, OH",$29900.00,406679 (8362 hrs),,,,
https://www.vanderhaags.com/detailview.php?part=25991403,"2018 International HX620 Truck: Cab & Chassis, Tandem Axle","Cab & Chassis, Tandem Axle - 2018 International HX620 Truck w/a 28' X 102"" Flatbed, 7 Winches, Cummins ISX15 455HP Engine, Manual...",Cummins ISX15 455HP,Manual 10 Spd Fuller FRO16210C,56000,ECM Miles (Hours):,Item:18IH109,"London, OH",$39900.00,683175 (13936 hrs),,,,
https://www.vanderhaags.com/detailview.php?part=25800364,"2021 Gmc TRUCK TRUCK: Vans, Cube & Step","Vans, Cube & Step - 2021 GMC Savana Cutaway G3500 w/a 16'x96""x79"" Van Body, GM 6.6L L8T 401HP Engine, Automatic 6 Spd Tr...",GM 6.6L L8T 401HP,Automatic 6 Spd,12300,ECM Miles (Hours):,Item:21GM002,"London, OH",$24900.00,95728,,,,
https://www.vanderhaags.com/detailview.php?part=26031836,"2024 Kenworth T680 Truck: Tractor, Tandem Axle Day Cab","Tractor, Tandem Axle Day Cab",Paccar MX11 430HP,Automatic 12 Spd Paccar PO-16F112C,51200,ECM Miles (Hours):,Item:24KN018,"Council Bluffs, IA",$66900.00,367447 (8388 hrs),https://pix.vanderhaags.com/640/truck-t680-kenworth-2f71c26936.JPG,"2024 Kenworth T680 Truck: Tractor, Tandem Axle Day Cab",,
https://www.vanderhaags.com/detailview.php?part=26031833,"2024 Kenworth T680 Truck: Tractor, Tandem Axle Day Cab","Tractor, Tandem Axle Day Cab",Paccar MX11 430HP,Automatic 12 Spd Paccar PO-16F112C,51200,ECM Miles (Hours):,Item:24KN017,"Council Bluffs, IA",$69900.00,283304 (6050 hrs),https://pix.vanderhaags.com/640/truck-t680-kenworth-f8e0d40451.JPG,"2024 Kenworth T680 Truck: Tractor, Tandem Axle Day Cab",https://www.youtube.com/watch?v=6ep8WmJFYaE,
https://www.vanderhaags.com/detailview.php?part=26031827,"2024 Kenworth T680 Truck: Tractor, Tandem Axle Day Cab","Tractor, Tandem Axle Day Cab - Experience modern efficiency with this 2024 Kenworth T680. This white day cab is powered by a PACCAR...",Paccar MX11 430HP,Automatic 12 Spd Paccar PO-16F112C,51200,ECM Miles (Hours):,Item:24KN023,"Council Bluffs, IA",$69900.00,,https://pix.vanderhaags.com/640/truck-t680-kenworth-c8379858c2.jpg,"2024 Kenworth T680 Truck: Tractor, Tandem Axle Day Cab",https://www.youtube.com/watch?v=8RgqoKgTou0,
https://www.vanderhaags.com/detailview.php?part=26031807,"2024 Kenworth T680 Truck: Tractor, Tandem Axle Day Cab","Tractor, Tandem Axle Day Cab - 2024 Kenworth T680 Day Cab, Paccar MX11 430HP Engine, Automatic 12 Spd Paccar PO-16F112C Transmissio...",Paccar MX11 430HP,Automatic 12 Spd Paccar PO-16F112C,51200,Cruise Control:,Item:24KN022,"Council Bluffs, IA",$66900.00,Yes,https://pix.vanderhaags.com/640/truck-t680-kenworth-63b8f83a0b.JPG,"2024 Kenworth T680 Truck: Tractor, Tandem Axle Day Cab",,
