Name,Price,Quantity,Category,Engine,Transmission,GVW,Store,"ECM Miles","YouTube URL","Extra Description","Image URL"
"2022 Kenworth T680 Truck: Tractor, Tandem Axle Day Cab",29900.00,,,"Paccar MX13 405HP","Endurant 12 Spd Paccar PO-16F112C",52350,"Stephenville, TX","529415 (13919 hrs)",,"Tractor, Tandem Axle Day Cab",
"2016 International DURASTAR (4300) Truck: Dump, Single Axle",74900.00,,,"Cummins ISB6.7 250HP","Automatic 6 Spd Allison 2500 RDS",25999,"Sioux Falls, SD",,,"Dump, Single Axle - 2016 International 4300, Customized with a New 16' Dump Body & 13"" Fold-Down Sides. This truck was c...",
"2021 International RH Truck: Tractor, Tandem Axle Day Cab",24900.00,,,"International A26 450HP","Automatic 12 Spd Eaton EEO-17F112C",52000,"London, OH","431864 (12437.21 hrs)",,"Tractor, Tandem Axle Day Cab - 2021 International RH613 Day Cab, International A26 515HP Engine, Automatic 12 Spd Eaton EEO-14F112C...",
"2021 International LT Truck: Tractor, Tandem Axle Day Cab",29900.00,,,"Cummins X15 400HP","12 Spd Eaton EEO-17F112C",52350,"London, OH","406679 (8362 hrs)",,"Tractor, Tandem Axle Day Cab - 2021 International LT Tandem Axle Day Cab, Cummins X15 400HP Engine, 12 Spd Eaton EEO-17F112C Transm...",
"2018 International HX620 Truck: Cab & Chassis, Tandem Axle",39900.00,,,"Cummins ISX15 455HP","Manual 10 Spd Fuller FRO16210C",56000,"London, OH","683175 (13936 hrs)",,"Cab & Chassis, Tandem Axle - 2018 International HX620 Truck w/a 28' X 102"" Flatbed, 7 Winches, Cummins ISX15 455HP Engine, Manual...",
"2021 Gmc TRUCK TRUCK: Vans, Cube & Step",24900.00,,,"GM 6.6L L8T 401HP","Automatic 6 Spd",12300,"London, OH",95728,,"Vans, Cube & Step - 2021 GMC Savana Cutaway G3500 w/a 16'x96""x79"" Van Body, GM 6.6L L8T 401HP Engine, Automatic 6 Spd Tr...",
"2024 Kenworth T680 Truck: Tractor, Tandem Axle Day Cab",66900.00,,,"Paccar MX11 430HP","Automatic 12 Spd Paccar PO-16F112C",51200,"Council Bluffs, IA","367447 (8388 hrs)",,"Tractor, Tandem Axle Day Cab",https://pix.vanderhaags.com/640/truck-t680-kenworth-2f71c26936.JPG
"2024 Kenworth T680 Truck: Tractor, Tandem Axle Day Cab",69900.00,,,"Paccar MX11 430HP","Automatic 12 Spd Paccar PO-16F112C",51200,"Council Bluffs, IA","283304 (6050 hrs)",https://www.youtube.com/watch?v=6ep8WmJFYaE,"Tractor, Tandem Axle Day Cab",https://pix.vanderhaags.com/640/truck-t680-kenworth-f8e0d40451.JPG
"2024 Kenworth T680 Truck: Tractor, Tandem Axle Day Cab",69900.00,,,"Paccar MX11 430HP","Automatic 12 Spd Paccar PO-16F112C",51200,"Council Bluffs, IA",,https://www.youtube.com/watch?v=8RgqoKgTou0,"Tractor, Tandem Axle Day Cab - Experience modern efficiency with this 2024 Kenworth T680. This white day cab is powered by a PACCAR...",https://pix.vanderhaags.com/640/truck-t680-kenworth-c8379858c2.jpg
"2024 Kenworth T680 Truck: Tractor, Tandem Axle Day Cab",66900.00,,,"Paccar MX11 430HP","Automatic 12 Spd Paccar PO-16F112C",51200,"Council Bluffs, IA",Yes,,"Tractor, Tandem Axle Day Cab - 2024 Kenworth T680 Day Cab, Paccar MX11 430HP Engine, Automatic 12 Spd Paccar PO-16F112C Transmissio...",https://pix.vanderhaags.com/640/truck-t680-kenworth-63b8f83a0b.JPG
"2024 Kenworth T680 Truck: Tractor, Tandem Axle Day Cab",69900.00,,,"Paccar MX11 430HP","Automatic 12 Spd Paccar PO-16F112C",51200,"Council Bluffs, IA","272698 (3340 hrs)",,"Tractor, Tandem Axle Day Cab - This 2024 Kenworth T680 is a powerful, road-ready asset featuring a PACCAR MX-11 11-liter diesel eng...",https://pix.vanderhaags.com/640/truck-t680-kenworth-e016a9eb7e.JPG
"2019 Peterbilt 567 Truck: Tractor, Tandem Axle Day Cab",74900.00,,,"Paccar MX13 425HP","Manual 18 Spd Fuller RTLO18918B",53200,"Council Bluffs, IA","234727 (8596 hrs)",,"Tractor, Tandem Axle Day Cab - 2019 Peterbilt 567 Tandem Axle Day Cab, Paccar MX13 425HP Engine, Manual 18 Spd Fuller RTLO18918B Tr...",https://pix.vanderhaags.com/640/truck-567-peterbilt-b864f85c68.JPG
"2012 Hino 338 Truck: Garbage/Roll Off/Refuse",59900.00,,,"Hino J08E 260HP","Automatic 4 Spd Allison 2500 RDS",33000,"Council Bluffs, IA",195580,https://www.youtube.com/watch?v=OOO8DZDFiaE,"Garbage/Roll Off/Refuse - New Swaploader SL-212 \nOptimum Body Lengths: 12'  to 14'\nPotential Body Lengths: 10' to 16'\nHook ...",https://pix.vanderhaags.com/640/truck-prostar-international-4a7eff550b.jpeg
"2022 Freightliner CASCADIA Truck: Tractor, Tandem Axle Day Cab",44900.00,,,"Detroit DD13 410HP","Automatic 12 Spd Detroit DT12-OB",52000,"Spencer, IA","371333.28 (7571.55 hrs)",https://www.youtube.com/watch?v=y__gNmxLWLc,"Tractor, Tandem Axle Day Cab - 2022 Freightliner Cascadia Tandem Axle Day Cab, 371,333.28 mi (7571.55 hrs), Detroit DD13 410HP Engi...",https://pix.vanderhaags.com/640/truck-cascadia-freightliner-1aaf5f77ba.jpeg
"2022 Freightliner CASCADIA Truck: Tractor, Tandem Axle Day Cab",44900.00,,,"Detroit DD13 410HP","Automatic 12 Spd Detroit DT12-OB",52000,"Spencer, IA","590268 (1128.95 hrs)",https://www.youtube.com/watch?v=LAf_ViLiXTI,"Tractor, Tandem Axle Day Cab - 2020 Freightliner Cascadia Tandem Axle Day Cab, Detroit DD13 410HP Engine, Automatic 12 Spd Detroit ...",https://pix.vanderhaags.com/640/truck-cascadia-freightliner-6f39be1919.jpeg
"2021 International RH Truck: Tractor, Tandem Axle Day Cab",29900.00,,,"International A26 450HP","Automatic 12 Spd Eaton EEO-17F112C",52000,"Spencer, IA","468883 (11584 hrs)",https://www.youtube.com/watch?v=_unVGptVyXY,"Tractor, Tandem Axle Day Cab - Explore this 2021 International RH for your operation. This used day cab truck is powered by a 450 H...",https://pix.vanderhaags.com/640/truck-rh-international-37e567f2fb.jpeg
"2021 International RH Truck: Tractor, Tandem Axle Day Cab",24900.00,,,"International A26 450HP","Automatic 12 Spd Eaton EEO-17F112C",52000,"Spencer, IA","473953 (11602 hrs)",https://www.youtube.com/watch?v=pPGWHgoKVrc,"Tractor, Tandem Axle Day Cab - Take a closer look at this 2021 International RH. This used day cab truck is powered by an Internati...",https://pix.vanderhaags.com/640/truck-rh-international-6550ab07bd.jpeg
"2019 Ford TRANSIT Truck: Vans, Cube & Step",26900.00,,,"Ford 3.7L NA 275HP","Automatic Ford 6R80",9000,"Spencer, IA",99188,https://www.youtube.com/watch?v=ecWmxbYd-wY,"Vans, Cube & Step",https://pix.vanderhaags.com/640/truck-transit-ford-20fd885d53.jpeg
"2020 International LT Truck: Tractor, Tandem Axle Day Cab",34900.00,,,"Cummins X15 400HP","Eaton EEO-17F112C",52350,"Spencer, IA","604134 (8630 hrs)",https://www.youtube.com/watch?v=p3vnNeDjRsM,"Tractor, Tandem Axle Day Cab - 2020 International LT Tandem Axle Day Cab, Cummins X15 400HP Engine, Eaton EEO-17F112C Transmission,...",https://pix.vanderhaags.com/640/truck-lt-international-f92bb7a23d.jpeg
"2017 Peterbilt 348 Truck: Cab & Chassis, Tandem Axle",42900.00,,,"Paccar PX9 330HP","Automatic 6 Spd Allison 3000 RDS",52000,"Spencer, IA","295844 (8143 hrs)",https://www.youtube.com/watch?v=wzgn0OWKECc,"Cab & Chassis, Tandem Axle - 2017 Peterbilt 348 Cab & Chassis, Paccar PX9 330HP Engine, Automatic 6 Spd Allison 3000 RDS Transmis...",https://pix.vanderhaags.com/640/truck-348-peterbilt-c24be3619c.jpeg
"2016 Ottawa T2 Truck: Yard Spotter/Shag",44900.00,,,"Cummins ISB6.7 200HP","Automatic Allison 3000 RDS",,"Spencer, IA","99711 (15055 hrs)",https://www.youtube.com/watch?v=R6ofmNyZ1Ow,"Yard Spotter/Shag - 2016 Ottawa T2 Off Road Yard Tactor, Cummins ISB6.7 200HP Engine, Automatic Allison 3000 RDS Transmi...",https://pix.vanderhaags.com/640/truck-t2-ottawa-9722a42433.jpeg
"2007 Sterling TRUCK TRUCK: Plow/Spreader TRUCK",27900.00,,,"CAT C7 301HP","Manual Fuller RTF8908LL",58000,"Spencer, IA","188548 (8359 hrs)",,"2007 Sterling TRUCK Truck: Plow/Spreader Truck",https://pix.vanderhaags.com/640/truck-truck-sterling-01bad4d855.jpeg
"2007 Blue Bird VISION Truck: Bus",6900.00,,,"CAT C7 210HP","Automatic 4 Spd",31000,"Spencer, IA","120218 (3773 hrs)",,"2007 Blue Bird VISION Truck: Bus",https://pix.vanderhaags.com/640/truck-vision-blue-bird-2a8d971690.JPG
"2006 Blue Bird VISION Truck: Bus",6900.00,,,"CAT C7 210HP","Automatic 4 Spd",31000,"Spencer, IA","96495 (3419 hrs)",,"2006 Blue Bird VISION Truck: Bus",https://pix.vanderhaags.com/640/truck-vision-blue-bird-9aa563135e.JPG
"2022 Gmc TRUCK TRUCK: Vans, Cube & Step",24900.00,,,"GM 6.6L L8T","Automatic GM 6L90E",12300,"Spencer, IA",,https://www.youtube.com/watch?v=TufYQ8yB_zY,"Vans, Cube & Step - 2022 GMC Savan Cutaway G3500 Cube Van (Van 16'x96""), Roll-Up Door Opening: 88""x71"", Roadside Door, G...",https://pix.vanderhaags.com/640/truck-truck-gmc-59b569bd97.jpeg
"2017 Ford F650 Truck: Dump, Single Axle",59900.00,,,"Ford 6.8L V10 330HP","Automatic Ford 6R140",25999,"Spencer, IA",21229,https://www.youtube.com/watch?v=NTzlsBEEHtk,"Dump, Single Axle - 2017 Ford F650 Single Axle Dump Truck, Dump Box: 10'x97""x28"", Ford 6.8L V10 362HP Engine, Automatic ...",https://pix.vanderhaags.com/640/truck-f650-ford-0c5782987e.jpeg
"1999 Ford E450 Truck: Dump, Single Axle",19900.00,,,"Ford 7.3 275HP",Automatic,14650,"Spencer, IA",146435,https://www.youtube.com/watch?v=RifJOSQ85E4,"Dump, Single Axle - 1999 Ford E450 Single Axle Dump Truck, 10'x96""x14"" Dump Box, Ford 7.3 275HP Engine, Automatic Transm...",https://pix.vanderhaags.com/640/truck-e450-ford-4d590282d7.jpeg
"2007 Sterling TRUCK TRUCK: Plow/Spreader TRUCK",20900.00,,,"CAT C7 301HP","Manual 8LL Fuller RTF8908LL",58000,"Spencer, IA","164666 (7594 hrs)",https://www.youtube.com/watch?v=qq6UWKm6cJo,"Plow/Spreader Truck - This 2007 Sterling LT7500 is a powerhouse built for demanding work, featuring a Caterpillar C7 engin...",https://pix.vanderhaags.com/640/truck-truck-sterling-2ab108fe09.jpeg
